Mfg_Part_Num,field,value,confidence,source,extraction_mode
DCB518ASTS06G,Mfg_Part_Num,DCB518ASTS06G,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,Part_Desc,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",1.0,"input file, verbatim",heuristic
DCB518ASTS06G,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,Part_Manuf,Freud Inc (2435),1.0,"input file, verbatim",heuristic
DCB518ASTS06G,PART_NUMBER,DCB518ASTS06G,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,MANUFACTURER_PART_NUMBER,DCB518ASTS06G,1.0,"input file, verbatim",heuristic
DCB518ASTS06G,MANUFACTURER_NAME,Freud Inc,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
DCB518ASTS06G,BRAND_NAME,Freud Inc,0.4,extraction agent,heuristic
DCB518ASTS06G,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
DCB518ASTS06G,Class,Abrasives,0.4,extraction agent: category classification,heuristic
DCB518ASTS06G,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
DCB518ASTS06G,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
DCB518ASTS06G,Product Name,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",0.4,extraction agent,heuristic
DCB518ASTS06G,SHORT_DESC,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",0.4,extraction agent,heuristic
DCB518ASTS06G,LONG_DESC1,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",0.4,extraction agent,heuristic
DCB518ASTS06G,MOBILE_DESC,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",0.4,derived from short_desc,heuristic
